,词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度.1,极性.1,Unnamed: 10,Unnamed: 11
0,脏乱,adj,1.0,1.0,NN,7,2,,,,,
1,糟报,adj,1.0,1.0,NN,5,2,,,,,
2,早衰,adj,1.0,1.0,NE,5,2,,,,,
3,责备,verb,1.0,1.0,NN,5,2,,,,,
4,贼眼,noun,1.0,1.0,NN,5,2,,,,,
5,战祸,noun,1.0,1.0,ND,5,2,NC,5.0,2.0,,
6,招灾,adj,1.0,1.0,NN,5,2,,,,,
7,折辱,noun,1.0,1.0,NE,5,2,NN,5.0,2.0,,
8,中山狼,noun,1.0,1.0,NN,5,2,,,,,
9,清峻,adj,1.0,1.0,PH,5,0,,,,,
10,清莹,adj,1.0,1.0,PH,5,1,,,,,
11,轻倩,adj,1.0,1.0,PH,5,1,,,,,
12,晴丽,adj,1.0,1.0,PH,5,1,,,,,
13,求索,adj,1.0,1.0,PH,3,1,,,,,
14,热潮,noun,1.0,1.0,PH,5,1,,,,,
15,仁政,noun,1.0,1.0,PH,5,1,,,,,
16,荣名,noun,1.0,1.0,PH,5,1,,,,,
17,柔腻,adj,1.0,1.0,PH,5,1,,,,,
18,瑞雪,noun,1.0,1.0,PA,5,1,,,,,
19,擅名,noun,1.0,1.0,PD,7,1,,,,,
20,神采,adj,1.0,1.0,PA,5,1,PH,1.0,1.0,,
21,省便,adj,1.0,1.0,PH,5,1,,,,,
22,盛开,verb,1.0,1.0,PH,5,1,,,,,
23,盛誉,noun,1.0,1.0,PH,5,1,PA,1.0,1.0,,
24,诗仙,noun,1.0,1.0,PH,7,1,,,,,
25,爽脆,adj,1.0,1.0,PH,5,1,,,,,
26,素洁,adj,1.0,1.0,PH,3,1,,,,,
28,株连,verb,1.0,1.0,NN,7,2,,,,,
29,坠毁,verb,1.0,1.0,NB,5,2,,,,,
30,滋生,verb,1.0,1.0,NN,5,2,,,,,
31,自恃,verb,1.0,1.0,NN,5,2,,,,,
32,走后门,verb,1.0,1.0,NN,5,2,,,,,
33,阻力,noun,1.0,1.0,NN,3,2,,,,,
34,罪状,noun,1.0,1.0,NN,9,2,,,,,
35,做戏,verb,1.0,1.0,NN,7,2,,,,,
36,甜头,noun,1.0,1.0,PB,5,1,,,,,
37,头名,noun,1.0,1.0,PH,5,1,,,,,
38,婉妙,adj,1.0,1.0,PH,3,1,,,,,
39,温淑,adj,1.0,1.0,PB,1,1,,,,,
40,稳厚,adj,1.0,1.0,PH,3,1,,,,,
41,沃壤,adj,1.0,1.0,PH,5,1,,,,,
42,无上,adj,1.0,1.0,PH,5,1,,,,,
43,喜人,noun,1.0,1.0,PA,5,1,,,,,
44,先贤,noun,1.0,1.0,PD,5,1,,,,,
45,鲜妍,adj,1.0,1.0,PH,5,1,,,,,
46,相称,adj,1.0,1.0,PH,5,1,,,,,
47,骁骑,adj,1.0,1.0,PH,3,1,,,,,
48,新巧,adj,1.0,1.0,PH,5,1,,,,,
49,新意,adj,1.0,1.0,PH,5,1,,,,,
50,信奉,adj,1.0,1.0,PG,5,1,,,,,
51,急智,noun,1.0,1.0,PH,3,1,,,,,
52,技艺,noun,1.0,1.0,PH,3,1,,,,,
53,雄劲,adj,1.0,1.0,PH,3,1,,,,,
54,雄肆,adj,1.0,1.0,PH,3,1,,,,,
55,秀俊,adj,1.0,1.0,PH,5,1,,,,,
56,煦煦,adj,1.0,1.0,PH,5,1,,,,,
57,勋绩,adj,1.0,1.0,PH,5,1,,,,,
58,雅淡,adj,1.0,1.0,PH,5,1,,,,,
59,雅兴,adj,1.0,1.0,PH,5,1,,,,,
60,严整,adj,1.0,1.0,PH,5,1,,,,,
61,泱泱,adj,1.0,1.0,PH,5,1,,,,,
62,怡悦,adj,1.0,1.0,PA,5,1,,,,,
